Unnamed: 0,Total_Codes_Applied,Codes_Applied
123 : Evaluation of the Research Experiences for Undergraduates (REU) Sites Program.,5,"G : Experiences and Outcomes of URE, O : Access to UREs, W : Graduate School and Career, AP : Use of Mentorship and Campus Supports, CA : Underrepresented Group"
124 : Evidence in Support of Removing Boundaries to Undergraduate Research Experience,11,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, O : Access to UREs, AV : FLAG, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
125 : Examining Perspectives of Faculty and Students Engaging in Undergraduate Research.,9,"E : Social Sciences and or Humanities, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AP : Use of Mentorship and Campus Supports, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
126 : Expectations and Experience~ An Exploratory Study of Undergraduate Research Experiences as Viewed through the Experiential Learning Theory.,9,"E : Social Sciences and or Humanities, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, BX : Summer-Based Program"
127 : Expectations and Experience~ Creating an Effective Remote Summer Undergraduate Research Program,1,AV : FLAG
"128 : Expectations and Perceptions of Undergraduate Research Mentoring~ Comparing First Generation, Low Income White~Caucasian and African American Students.",12,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, O : Access to UREs, AP : Use of Mentorship and Campus Supports, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program, BZ : Underrepresented, CA : Underrepresented Group"
129 : Expectations for and Quality Experiences in Undergraduate Research Over Time~ Perspectives of Students and Faculty.,10,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, O : Access to UREs, S : General Perceptions and Experiences, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified"
130 : Exploratory Study of the Teaching Practices of Novice Science Teachers Who Participated in Undergraduate Science Education Research.,9,"E : Social Sciences and or Humanities, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AV : FLAG, BC : Qualitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty"
"131 : Exploring the Dynamics of Directed Studies Courses~ Student, Instructor, and Administrator Perspectives.",13,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, W : Graduate School and Career, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BC : Qualitative, BJ : Negative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
132 : Exploring the Leech Gut Microbiome as a Course-based Undergraduate Research Experience.,8,"F : STEM, G : Experiences and Outcomes of URE, AG : Non-Cognitive Skills, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
133 : Exploring Undergraduate Research Experiences for Latinx College Students From Farmworker Families.,14,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AP : Use of Mentorship and Campus Supports, BC : Qualitative, BJ : Negative, BM : Primary Institutional Context, BO : Community College, BS : Program type, BW : Not Specified, BY : Sense of belonging, BZ : Underrepresented, CA : Underrepresented Group"
134 : Extending the Reach of the STARs (Students Tackling Advanced Research).,12,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, W : Graduate School and Career, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified, BZ : Underrepresented"
135 : Factors Affecting Persistence of Undergraduate Students in a Fisheries and Wildlife Program~ Transfer Students.,6,"G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, W : Graduate School and Career, AG : Non-Cognitive Skills, BY : Sense of belonging"
136 : Factors Associated With Student Decision-Making for Participation in the Research Experiences for Undergraduates Program.,8,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BX : Summer-Based Program"
137 : Factors Contributing to the ~Success~ of NIH-Designated Underrepresented Minorities in Academic and Nonacademic Research Positions,13,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BR : Undefined, BS : Program type, BW : Not Specified, BZ : Underrepresented, CA : Underrepresented Group"
138 : Fine-Tuning Summer Research Programs to Promote Underrepresented Students' Persistence in the STEM Pathway,11,"F : STEM, G : Experiences and Outcomes of URE, W : Graduate School and Career, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BP : Minority Serving Institution, BQ : Multi-institutional, BS : Program type, BX : Summer-Based Program, BZ : Underrepresented"
139 : First-Year Seminars as a venue for Course-based Undergraduate Research Experiences~ a preliminary report,11,"F : STEM, G : Experiences and Outcomes of URE, W : Graduate School and Career, AD : Identity Development, AG : Non-Cognitive Skills, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, BY : Sense of belonging"
140 : Fostering Faculty Diversity by Supporting Access to Graduate Study in Education,10,"E : Social Sciences and or Humanities, G : Experiences and Outcomes of URE, W : Graduate School and Career, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program, BZ : Underrepresented"
141 : Fostering Students' Identity as Scientists as They Search for New Anti microbial Drugs.,11,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AD : Identity Development, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program, BZ : Underrepresented"
142 : From Undergraduate Research to Graduation~ Measuring the Robustness of the Pathway at a Hispanic-Serving Institution.,13,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BV : Mixed modality, BZ : Underrepresented, CA : Underrepresented Group"
143 : Geoscience Education Research Project~ Student Benefits and Effective Design of a Course-Based Undergraduate Research Experience.,10,"E : Social Sciences and or Humanities, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AD : Identity Development, AG : Non-Cognitive Skills, BC : Qualitative, BM : Primary Institutional Context, BO : Community College, BS : Program type, BT : Course-Based Program"
144 : Getting off to a good start~ First-year undergraduate research experiences and student outcomes.,11,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BQ : Multi-institutional, BS : Program type, BW : Not Specified"
145 : Group-Advantaged Training of Research (GATOR)~ A Metamorphosis of Mentorship,10,"F : STEM, G : Experiences and Outcomes of URE, W : Graduate School and Career, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
146 : Hierarchical Mentoring~ A Transformative Strategy for Improving Diversity and Retention in Undergraduate STEM Disciplines.,14,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AD : Identity Development, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified, BZ : Underrepresented, CA : Underrepresented Group"
"147 : High-Impact for Whom~ The Influence of Environment and Identity on Lesbian, Gay, Bisexual, and Queer College Students' Participation in High-Impact Practices.",14,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BJ : Negative, BM : Primary Institutional Context, BN : 4-Year University, BO : Community College, BS : Program type, BW : Not Specified, CA : Underrepresented Group"
148 : How Does High Impact Practice Predict Student Engagement~ A Comparison of White and Minority Students,13,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified, BZ : Underrepresented, CA : Underrepresented Group"
149 : How Does Undergraduate Research Experience Impact Career Trajectories and Level of Career Satisfaction~ A Comparative Survey.,10,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, W : Graduate School and Career, AP : Use of Mentorship and Campus Supports, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty"
150 : How Novice Researchers See Themselves Grow.,10,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty"
151 : How Well Do Undergraduate Research Programs Promote Engagement and Success of Students~,10,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
152 : Immersing Undergraduate Students in the Research Experience~ A Practical Laboratory Module on Molecular Cloning of Microbial Genes,8,"F : STEM, G : Experiences and Outcomes of URE, AG : Non-Cognitive Skills, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
153 : Impact of Authentic Course-Based Undergraduate Research Experiences (CUREs) on Student Understanding in Introductory Biology Laboratory Courses.,10,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, AD : Identity Development, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
154 : Impact of Engineering Research Experience Programs on Domestic and International Undergraduate Students,1,AV : FLAG
155 : Impact of the INBRE summer student mentored research program on undergraduate students in Arkansas.,13,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, W : Graduate School and Career, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BC : Qualitative, BJ : Negative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
156 : Impact of Undergraduate Research Experience in Engineering.,11,"F : STEM, G : Experiences and Outcomes of URE, W : Graduate School and Career, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, BX : Summer-Based Program"
"157 : Impact of Undergraduate Research on Academic Performance, Educational Planning, and Career Development.",5,"G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AG : Non-Cognitive Skills, AV : FLAG"
158 : Impact of Undergraduate Research Training Programs~ An Illustrative Example of Finding a Comparison Group and Evaluating Academic and Graduate School Outcomes,6,"G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AV : FLAG, BM : Primary Institutional Context, BP : Minority Serving Institution"
159 : Implementation and Assessment of Undergraduate Experiences in SOAP~ An Atmospheric Science Research and Education Program.,10,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AP : Use of Mentorship and Campus Supports, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
"160 : Implementation and Evaluation of an Undergraduate Research Curricular Pathway at a Public, Research-Intensive University",11,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
161 : Implementing a species‐specific undergraduate research program.,11,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AG : Non-Cognitive Skills, AV : FLAG, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BV : Mixed modality"
162 : Implementing and Evaluating a Course-Based Undergraduate Research Experience (CURE) at a Hispanic-Serving Institution.,14,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AD : Identity Development, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program, BZ : Underrepresented, CA : Underrepresented Group"
163 : Implementing Course-based Research Increases Student Aspirations for STEM Degrees.,13,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AD : Identity Development, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BO : Community College, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program"
164 : Implementing Undergraduate Research in an Online Gateway Political Science Course,1,AV : FLAG
165 : Importance of Undergraduate Research for Minority Persistence and Achievement in Biology.,11,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program, BU : Individual Apprenticeship or Assistantship with Faculty, BZ : Underrepresented, CA : Underrepresented Group"
166 : Improving Critical Thinking ~via~ Authenticity~ The CASPiE Research Experience in a Military Academy Chemistry Course,8,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, BD : Quantitative, BS : Program type, BT : Course-Based Program"
167 : Improving Persistence of STEM Majors at a Liberal Arts College~ Evaluation of the Scots Science Scholars Program.,10,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BO : Community College, BS : Program type, BW : Not Specified"
168 : Inclusive excellence through digital learning~ an undergraduate research experience to pilot cross-institutional collaboration between a historically black university and a predominantly white institution.,5,"G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, AV : FLAG, CA : Underrepresented Group"
169 : Incorporating Course-Based Undergraduate Research Experiences into Analytical Chemistry Laboratory Curricula.,10,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AG : Non-Cognitive Skills, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
170 : Incorporating research into the undergraduate wildlife management curriculum.,8,"F : STEM, G : Experiences and Outcomes of URE, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
171 : Increasing student involvement in research~ a collaborative approach between faculty and students.,11,"F : STEM, G : Experiences and Outcomes of URE, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BC : Qualitative, BJ : Negative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty, BZ : Underrepresented"
172 : Institution-Wide Analysis of Academic Outcomes Associated with Participation in UGR~ Comparison of Different Research Modalities at a Hispanic-Serving Institution,12,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, W : Graduate School and Career, BD : Quantitative, BM : Primary Institutional Context, BP : Minority Serving Institution, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty, CA : Underrepresented Group"
173 : Integrating Primary Research into the Teaching Lab~ Benefits and Impacts of a One-Semester CURE for Physical Chemistry.,10,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
"174 : Integrating Research Experiences Into Public Health Curricula~ Effects on Undergraduate Students' Knowledge of Neighborhood Inequalities, Perception of Research, and Motivation to Talk About Health Issues.",9,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
175 : Integrating Undergraduate Research into Economics General Education.,9,"E : Social Sciences and or Humanities, G : Experiences and Outcomes of URE, AG : Non-Cognitive Skills, AV : FLAG, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
176 : Integrating Undergraduate Research into Engineering~ A Communications Approach to Holistic Education.,5,"F : STEM, AV : FLAG, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University"
177 : Integrating Undergraduate Research into Social Science Curriculum~ Benefits and Challenges of Two Models.,10,"E : Social Sciences and or Humanities, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, W : Graduate School and Career, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BR : Undefined, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty"
178 : Interdisciplinary Research in a Dense Summer Bridge~ The Role of a Writing Intensive Chemistry Seminar.,9,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, AV : FLAG, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
179 : Introducing SELEX via a semester‐long course‐based undergraduate research experience (CURE).,10,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, AV : FLAG, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
180 : Introducing undergraduate research in Numerical Analysis of Engineering Systems course.,5,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, AG : Non-Cognitive Skills, AV : FLAG"
181 : Investigating Graduate Education and Undergraduate Research Intentions of College Science Students.,10,"F : STEM, G : Experiences and Outcomes of URE, W : Graduate School and Career, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BR : Undefined, BS : Program type, BW : Not Specified"
"182 : Investigating Preservice Black Male Teachers' Identity as Men, Teachers, and Researchers Through Undergraduate Research.",13,"E : Social Sciences and or Humanities, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, W : Graduate School and Career, AD : Identity Development, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BC : Qualitative, BM : Primary Institutional Context, BP : Minority Serving Institution, BS : Program type, BX : Summer-Based Program, CA : Underrepresented Group"
"183 : Investigating the Alignment of Intended, Enacted, and Perceived Learning Outcomes in an Authentic Research-Based Science Program.",9,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
184 : Is the undergraduate research experience (URE) always best~~ The power of choice in a bifurcated practical stream for a large introductory biochemistry class.,10,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
185 : Launching Sustainability Leadership~ Long-Term Impacts on Educational and Career Paths in Undergraduate Research Experiences.,10,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AG : Non-Cognitive Skills, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BW : Not Specified"
186 : Learning science by doing science~ an authentic science process-learning model in postsecondary education.,8,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
187 : Learning to Become Researchers~ Lessons Learned from a Research Experience for Undergraduates (REU) Program Focused on Research in the Psychological Sciences with Real-World Implications,13,"E : Social Sciences and or Humanities, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BP : Minority Serving Institution, BQ : Multi-institutional, BS : Program type, BX : Summer-Based Program, CA : Underrepresented Group"
188 : Life's Lessons in the Lab~ A Summer of Learning from Undergraduate Research Experiences.,11,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AD : Identity Development, AG : Non-Cognitive Skills, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
189 : Linguistic Analysis of Project Ownership for Undergraduate Research Experiences,9,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AP : Use of Mentorship and Campus Supports, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BV : Mixed modality"
190 : Linking Chemistry and Biology through Course-Based Undergraduate Research on Anticancer Ruthenium Complexes,11,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, AV : FLAG, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BT : Course-Based Program"
191 : Long-Term Outcomes of Biotechnology Student Participation in Undergraduate Research Experiences at Delaware Technical Community College,9,"F : STEM, G : Experiences and Outcomes of URE, W : Graduate School and Career, AP : Use of Mentorship and Campus Supports, BC : Qualitative, BM : Primary Institutional Context, BO : Community College, BS : Program type, BT : Course-Based Program"
192 : Lowering Barriers to Undergraduate Research through Collaboration with Local Craft Breweries.,11,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, AV : FLAG, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
193 : MACES Undergraduate Research Fellowship Program~ Integrating Research and Education.,12,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BV : Mixed modality, CA : Underrepresented Group"
194 : Making a Difference for Minorities~ Evaluation of an Educational Enrichment Program.,11,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, W : Graduate School and Career, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BW : Not Specified, CA : Underrepresented Group"
195 : Making a Difference in Science Education~ The Impact of Undergraduate Research Programs.,10,"F : STEM, G : Experiences and Outcomes of URE, W : Graduate School and Career, BD : Quantitative, BM : Primary Institutional Context, BP : Minority Serving Institution, BQ : Multi-institutional, BS : Program type, BW : Not Specified, CA : Underrepresented Group"
196 : Making the Move~ Empowering Student Teachers as Teacher Researchers.,10,"E : Social Sciences and or Humanities, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
197 : Measuring Integrated Understanding of Undergraduate Chemistry Research Experiences~ Assessing Oral and Written Research Artifacts,9,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, AG : Non-Cognitive Skills, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
198 : Measuring Self-Efficacy and Scientific Literacy Across Disciplines as Value- Added Outcomes of Undergraduate Research Mentoring~ Scale Development.,8,"E : Social Sciences and or Humanities, F : STEM, G : Experiences and Outcomes of URE, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University"
199 : Measuring Student Learning Gains in Independent Research Experiences in the Sciences through Reflective Practice and ePortfolios.,11,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BO : Community College, BS : Program type, BX : Summer-Based Program"
200 : Mentoring undergraduate nursing students in palliative home care research.,10,"C : COVID-19, F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, AV : FLAG, BC : Qualitative, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty"
201 : Negotiating Peer Mentoring Roles in Undergraduate Research Lab Settings.,9,"F : STEM, G : Experiences and Outcomes of URE, S : General Perceptions and Experiences, AP : Use of Mentorship and Campus Supports, BC : Qualitative, BM : Primary Institutional Context, BO : Community College, BS : Program type, BX : Summer-Based Program"
202 : Nurturing Independent Learning in the Undergraduate Student in History~ A Faculty–Student Mentoring Experience.,10,"E : Social Sciences and or Humanities, G : Experiences and Outcomes of URE, W : Graduate School and Career, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BC : Qualitative, BM : Primary Institutional Context, BR : Undefined, BS : Program type, BU : Individual Apprenticeship or Assistantship with Faculty"
203 : Original Undergraduate Research in Classroom Contexts~ Student Perceptions of a Scaffolded Approach.,10,"E : Social Sciences and or Humanities, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, AG : Non-Cognitive Skills, BC : Qualitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BT : Course-Based Program"
204 : Outcomes of Texas Southern University's Summer Undergraduate Research Program.,13,"G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, W : Graduate School and Career, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BP : Minority Serving Institution, BS : Program type, BX : Summer-Based Program, CA : Underrepresented Group"
205 : Outcomes of the UAMS summer undergraduate research program to increase diversity in research and health professions.,13,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, W : Graduate School and Career, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program, CA : Underrepresented Group"
206 : Participants' Reflections Two and Three Years after an Introductory Chemistry Course-Embedded Research Experience,11,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, S : General Perceptions and Experiences, AD : Identity Development, AG : Non-Cognitive Skills, BB : Mixed or Multi-Methods, BM : Primary Institutional Context, BN : 4-Year University, BS : Program type, BX : Summer-Based Program"
207 : Participation in a Course-Based Undergraduate Research Experience Results in Higher Grades in the Companion Lecture Course.,10,"F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, BD : Quantitative, BM : Primary Institutional Context, BP : Minority Serving Institution, BS : Program type, BT : Course-Based Program, CA : Underrepresented Group"
208 : Passion-Driven Statistics~ A course-based undergraduate research experience (CURE).,13,"C : COVID-19, F : STEM, G : Experiences and Outcomes of URE, H : Academic Success, W : Graduate School and Career, AD : Identity Development, AG : Non-Cognitive Skills, AP : Use of Mentorship and Campus Supports, BD : Quantitative, BM : Primary Institutional Context, BQ : Multi-institutional, BS : Program type, BT : Course-Based Program"
